n_estimators,test-mlogloss-mean,test-mlogloss-std,train-mlogloss-mean,train-mlogloss-std
38,0.9177153333333333,0.0005521559763529179,0.9151303333333334,0.0004966449659688655
39,0.9143246666666666,0.0005646900821591237,0.9116836666666668,0.0005034046307119365
40,0.9109863333333333,0.0005762906288401024,0.9082893333333333,0.0005088348345867125
41,0.9076926666666667,0.0005775172917083932,0.9049303333333333,0.0005273647272576464
42,0.9044393333333334,0.0005789647849586374,0.9016216666666667,0.0005390475138818637
43,0.9012403333333333,0.0005790799215614078,0.8983636666666666,0.0005477897001181485
44,0.8980786666666667,0.0005811978053028646,0.895142,0.0005636671594715089
45,0.8949706666666667,0.0005733668594848514,0.8919633333333333,0.0005848061407186439
46,0.8919,0.000564642069515424,0.8888306666666667,0.0006065071218781517
47,0.8888646666666666,0.0005667194093101853,0.8857369999999999,0.000624270774584248
48,0.8858776666666667,0.0005686412655522573,0.8826890000000001,0.0006355223573302856
49,0.8829203333333334,0.0005622178304615591,0.8796766666666667,0.0006555508286082062
50,0.8800096666666667,0.0005538954975645156,0.8767010000000001,0.0006758022393176026
51,0.8771413333333333,0.0005566215550583575,0.8737706666666667,0.0006853205251721263
52,0.8743096666666667,0.0005521891785329729,0.8708786666666667,0.0007048509692756974
53,0.8714953333333333,0.0005426750613601281,0.8680116666666667,0.0007225701042497808
54,0.86874,0.0005314000376364036,0.8651949999999999,0.0007461318024764004
55,0.8660036666666665,0.0005289847718875578,0.8624093333333334,0.0007595197312922153
56,0.8633263333333333,0.0005286475406376352,0.8596656666666666,0.0007732728424617741
57,0.8606663333333334,0.000522904920186829,0.8569553333333332,0.0007884103556453693
58,0.8580493333333333,0.0005152017943377934,0.85428,0.0008063299572755876
59,0.8554596666666666,0.0005045290433221531,0.8516356666666667,0.0008234922923473727
60,0.8529163333333333,0.0004987987792910197,0.8490296666666667,0.00083460862417995
61,0.8503913333333334,0.0004978221458401674,0.846453,0.0008487076449913094
62,0.8478976666666665,0.0005008674697184938,0.8439076666666666,0.0008580168348517099
63,0.8454413333333332,0.0005075262445321482,0.841403,0.0008620394422531169
64,0.8430243333333333,0.0005089180243964517,0.8389246666666667,0.0008743135720222057
65,0.8406370000000001,0.0005071153714885828,0.8364846666666667,0.0008869770133561942
66,0.8382863333333335,0.0005034509796284929,0.8340733333333333,0.0009023304395963667
67,0.8359626666666666,0.0005112248907172826,0.8316873333333333,0.0009107565841406368
68,0.833649,0.000529309613238483,0.8293263333333334,0.0009137852896362318
69,0.8313856666666667,0.0005349220088532298,0.8270056666666666,0.000918747819347357
70,0.8291406666666666,0.0005426984020204147,0.8247049999999999,0.0009271386088390684
71,0.8269270000000001,0.0005426349294568999,0.8224353333333334,0.0009363348166595719
72,0.8247430000000001,0.0005414369769419277,0.8201966666666666,0.0009451526625659779
73,0.8225876666666667,0.0005540531462674767,0.8179850000000001,0.0009493123827275977
74,0.820459,0.0005620889609305621,0.8158033333333332,0.0009560339371010103
75,0.8183566666666667,0.0005719494927196189,0.8136483333333334,0.000965913844789236
76,0.816285,0.0005750084057356327,0.8115186666666666,0.0009769961901438349
77,0.814232,0.0005845448371739308,0.809411,0.0009829571031671263
78,0.8122016666666667,0.0005959476114186114,0.8073263333333333,0.0009872974335134086
79,0.810204,0.0005937075598867486,0.805279,0.0010016929003775147
80,0.808231,0.0005947139368357721,0.8032496666666668,0.0010101278246945895
81,0.8062856666666667,0.0005949141861553394,0.8012466666666667,0.001022644393499306
82,0.8043699999999999,0.0005967919793920292,0.7992723333333333,0.0010338501933172851
83,0.8024706666666667,0.0005913697846713086,0.79732,0.0010455974368751618
84,0.8005939999999999,0.0005965417001350116,0.7953843333333332,0.0010524752834257984
85,0.7987336666666667,0.0005958575519553683,0.7934663333333334,0.0010636823878499631
86,0.796892,0.0005987091670140301,0.7915763333333333,0.0010658346755269266
87,0.795084,0.000597550555741236,0.7897156666666666,0.0010688318649608064
88,0.7932876666666667,0.0005996478596272389,0.787869,0.00108222117271223
89,0.791525,0.0005991532914594221,0.7860509999999999,0.0010856712209504796
90,0.789769,0.0006033081026031813,0.784245,0.0010857719220290344
91,0.7880416666666666,0.0006020987368271867,0.7824650000000001,0.001096396217918799
92,0.7863383333333333,0.0006061932218544063,0.7807073333333333,0.0011037319521614967
93,0.7846503333333333,0.0006145905592795672,0.778965,0.0011050438905310465
94,0.7829786666666667,0.0006170253011200041,0.7772456666666666,0.001106047115733432
95,0.781336,0.000620622805467755,0.7755519999999999,0.0011067152599773128
96,0.7797139999999999,0.0006303686751946763,0.7738719999999999,0.0011115415721720356
97,0.7781153333333334,0.000637772338343046,0.7722146666666667,0.0011196190820492635
98,0.7765286666666666,0.0006360976514830087,0.7705686666666667,0.001126247555182942
99,0.7749786666666667,0.0006363365636376936,0.7689596666666666,0.0011393300175493075
100,0.7734256666666667,0.0006378089229716412,0.7673513333333334,0.0011432970839734826
101,0.7719006666666667,0.0006341904726149312,0.7657729999999999,0.0011516851421576244
102,0.7703946666666667,0.0006301504229591243,0.7642083333333334,0.0011650912219888948
103,0.7689073333333334,0.000628079789694106,0.7626626666666666,0.0011702456532236784
104,0.7674366666666667,0.0006286124048692843,0.7611343333333332,0.0011796070908946458
105,0.765993,0.0006275433583957878,0.759627,0.0011913860275606328
106,0.7645543333333333,0.000628826596836437,0.7581289999999999,0.0011990854848591892
107,0.7631326666666668,0.0006296773424187531,0.7566513333333335,0.0012112738015090726
108,0.7617396666666666,0.0006247113111047895,0.7551969999999999,0.00122277171486208
109,0.7603466666666666,0.0006301874500672013,0.7537483333333332,0.0012271868462282363
110,0.7589776666666667,0.000630778531305239,0.7523253333333333,0.001238216279797504
111,0.7576243333333333,0.0006269738608763685,0.7509123333333333,0.0012456415571459147
112,0.7562723333333334,0.0006243339562196316,0.749514,0.0012548667923993559
113,0.754946,0.0006118452963508751,0.7481346666666666,0.0012646425933396789
114,0.7536343333333333,0.0005998190467873812,0.7467706666666666,0.0012819548440652093
115,0.7523393333333334,0.0005999212911337243,0.7454230000000001,0.0012982806578959321
116,0.7510676666666667,0.0006022277162521118,0.7440943333333333,0.0013040087763848936
117,0.7497949999999999,0.0006021384115522175,0.7427713333333333,0.0013146168854672046
118,0.7485493333333334,0.0005891272264026468,0.7414719999999999,0.0013345158922495968
